Trace1,
Freq,,Amp,,
            83849766,Hz,             -101.50, dBm,
            83866432,Hz,             -110.22, dBm,
            83883098,Hz,             -102.53, dBm,
            83899764,Hz,             -104.63, dBm,
            83916430,Hz,             -103.40, dBm,
            83933096,Hz,              -97.62, dBm,
            83949762,Hz,              -98.97, dBm,
            83966428,Hz,             -102.13, dBm,
            83983094,Hz,             -103.72, dBm,
            83999760,Hz,             -112.50, dBm,
            84016426,Hz,             -103.48, dBm,
            84033092,Hz,             -102.47, dBm,
            84049758,Hz,              -98.79, dBm,
            84066424,Hz,             -114.17, dBm,
            84083090,Hz,             -104.54, dBm,
            84099756,Hz,             -104.46, dBm,
            84116422,Hz,             -106.48, dBm,
            84133088,Hz,             -105.85, dBm,
            84149754,Hz,             -106.06, dBm,
            84166420,Hz,             -107.64, dBm,
            84183086,Hz,             -108.15, dBm,
            84199752,Hz,             -102.96, dBm,
            84216418,Hz,              -98.48, dBm,
            84233084,Hz,             -111.87, dBm,
            84249750,Hz,             -107.89, dBm,
            84266416,Hz,             -108.02, dBm,
            84283082,Hz,             -111.87, dBm,
            84299748,Hz,             -103.11, dBm,
            84316414,Hz,             -107.16, dBm,
            84333080,Hz,             -105.08, dBm,
            84349746,Hz,             -101.68, dBm,
            84366412,Hz,             -102.89, dBm,
            84383078,Hz,             -102.47, dBm,
            84399744,Hz,              -93.89, dBm,
            84416410,Hz,             -105.27, dBm,
            84433076,Hz,             -101.20, dBm,
            84449742,Hz,             -110.22, dBm,
            84466408,Hz,             -105.46, dBm,
            84483074,Hz,             -103.72, dBm,
            84499740,Hz,             -104.90, dBm,
            84516406,Hz,             -104.99, dBm,
            84533072,Hz,             -115.00, dBm,
            84549738,Hz,             -103.80, dBm,
            84566404,Hz,             -106.48, dBm,
            84583070,Hz,             -104.90, dBm,
            84599736,Hz,             -102.40, dBm,
            84616402,Hz,             -103.11, dBm,
            84633068,Hz,             -104.90, dBm,
            84649734,Hz,             -100.97, dBm,
            84666400,Hz,             -106.48, dBm,
            84683066,Hz,             -102.82, dBm,
            84699732,Hz,             -112.50, dBm,
            84716398,Hz,             -101.68, dBm,
            84733064,Hz,             -104.12, dBm,
            84749730,Hz,             -104.37, dBm,
            84766396,Hz,             -103.56, dBm,
            84783062,Hz,             -108.70, dBm,
            84799728,Hz,             -100.85, dBm,
            84816394,Hz,             -106.06, dBm,
            84833060,Hz,             -104.12, dBm,
            84849726,Hz,             -106.93, dBm,
            84866392,Hz,             -109.28, dBm,
            84883058,Hz,             -105.37, dBm,
            84899724,Hz,             -103.72, dBm,
            84916390,Hz,             -102.00, dBm,
            84933056,Hz,             -102.27, dBm,
            84949722,Hz,             -107.64, dBm,
            84966388,Hz,             -102.82, dBm,
            84983054,Hz,              -99.73, dBm,
            84999720,Hz,             -102.13, dBm,
            85016386,Hz,             -105.96, dBm,
            85033052,Hz,             -108.98, dBm,
            85049718,Hz,             -104.63, dBm,
            85066384,Hz,             -107.04, dBm,
            85083050,Hz,             -105.27, dBm,
            85099716,Hz,             -104.04, dBm,
