Trace1,
Freq,,Amp,,
            85833020,Hz,              -93.87, dBm,
            85849686,Hz,              -88.24, dBm,
            85866352,Hz,              -93.52, dBm,
            85883018,Hz,              -91.39, dBm,
            85899684,Hz,              -93.33, dBm,
            85916350,Hz,              -95.61, dBm,
            85933016,Hz,              -96.73, dBm,
            85949682,Hz,              -93.09, dBm,
            85966348,Hz,              -86.89, dBm,
            85983014,Hz,              -90.13, dBm,
            85999680,Hz,              -89.15, dBm,
            86016346,Hz,              -92.62, dBm,
            86033012,Hz,              -88.93, dBm,
            86049678,Hz,              -92.15, dBm,
            86066344,Hz,              -93.54, dBm,
            86083010,Hz,              -89.37, dBm,
            86099676,Hz,              -86.92, dBm,
            86116342,Hz,              -88.90, dBm,
            86133008,Hz,              -92.62, dBm,
            86149674,Hz,              -91.37, dBm,
            86166340,Hz,              -85.95, dBm,
            86183006,Hz,              -89.76, dBm,
            86199672,Hz,              -96.91, dBm,
            86216338,Hz,              -88.43, dBm,
            86233004,Hz,              -94.75, dBm,
            86249670,Hz,              -86.70, dBm,
            86266336,Hz,              -98.02, dBm,
            86283002,Hz,              -92.36, dBm,
            86299668,Hz,              -92.91, dBm,
            86316334,Hz,              -98.27, dBm,
            86333000,Hz,              -90.64, dBm,
            86349666,Hz,              -85.34, dBm,
            86366332,Hz,              -91.09, dBm,
            86382998,Hz,              -88.56, dBm,
            86399664,Hz,              -94.50, dBm,
            86416330,Hz,              -90.40, dBm,
            86432996,Hz,              -89.34, dBm,
            86449662,Hz,              -90.94, dBm,
            86466328,Hz,              -91.70, dBm,
            86482994,Hz,              -90.47, dBm,
            86499660,Hz,              -90.26, dBm,
            86516326,Hz,              -88.12, dBm,
            86532992,Hz,              -94.15, dBm,
            86549658,Hz,              -93.09, dBm,
            86566324,Hz,              -95.67, dBm,
            86582990,Hz,              -93.12, dBm,
            86599656,Hz,              -84.47, dBm,
            86616322,Hz,              -93.64, dBm,
            86632988,Hz,              -96.12, dBm,
            86649654,Hz,              -96.63, dBm,
            86666320,Hz,              -90.82, dBm,
            86682986,Hz,              -91.94, dBm,
            86699652,Hz,              -89.57, dBm,
            86716318,Hz,              -89.63, dBm,
            86732984,Hz,              -83.87, dBm,
            86749650,Hz,              -90.05, dBm,
            86766316,Hz,              -98.07, dBm,
            86782982,Hz,              -93.23, dBm,
            86799648,Hz,              -95.70, dBm,
            86816314,Hz,              -98.49, dBm,
            86832980,Hz,              -96.46, dBm,
            86849646,Hz,              -96.88, dBm,
            86866312,Hz,              -98.57, dBm,
            86882978,Hz,              -88.79, dBm,
            86899644,Hz,              -94.29, dBm,
            86916310,Hz,              -87.88, dBm,
            86932976,Hz,              -95.64, dBm,
            86949642,Hz,              -97.55, dBm,
            86966308,Hz,              -97.55, dBm,
            86982974,Hz,              -94.50, dBm,
            86999640,Hz,              -93.97, dBm,
            87016306,Hz,             -100.86, dBm,
            87032972,Hz,              -89.36, dBm,
            87049638,Hz,              -92.25, dBm,
            87066304,Hz,              -94.53, dBm,
            87082970,Hz,              -96.09, dBm,
            87099636,Hz,              -93.19, dBm,
            87116302,Hz,              -98.28, dBm,
            87132968,Hz,              -93.17, dBm,
            87149634,Hz,              -91.86, dBm,
            87166300,Hz,              -93.12, dBm,
            87182966,Hz,              -90.57, dBm,
            87199632,Hz,              -88.15, dBm,
            87216298,Hz,              -84.39, dBm,
            87232964,Hz,              -95.96, dBm,
            87249630,Hz,              -85.10, dBm,
            87266296,Hz,              -92.45, dBm,
            87282962,Hz,             -100.63, dBm,
            87299628,Hz,              -91.74, dBm,
            87316294,Hz,              -87.14, dBm,
            87332960,Hz,              -92.51, dBm,
            87349626,Hz,              -89.89, dBm,
            87366292,Hz,              -93.14, dBm,
            87382958,Hz,              -97.94, dBm,
            87399624,Hz,              -87.46, dBm,
            87416290,Hz,              -86.55, dBm,
            87432956,Hz,              -88.42, dBm,
            87449622,Hz,              -88.75, dBm,
            87466288,Hz,              -89.84, dBm,
            87482954,Hz,              -94.37, dBm,
            87499620,Hz,              -91.04, dBm,
            87516286,Hz,              -92.58, dBm,
            87532952,Hz,              -93.21, dBm,
            87549618,Hz,              -92.49, dBm,
            87566284,Hz,              -92.38, dBm,
            87582950,Hz,              -94.26, dBm,
            87599616,Hz,              -89.67, dBm,
            87616282,Hz,              -91.43, dBm,
            87632948,Hz,              -93.92, dBm,
            87649614,Hz,              -93.50, dBm,
            87666280,Hz,              -92.07, dBm,
            87682946,Hz,              -88.46, dBm,
            87699612,Hz,              -92.91, dBm,
            87716278,Hz,              -98.24, dBm,
            87732944,Hz,              -92.17, dBm,
            87749610,Hz,              -98.15, dBm,
            87766276,Hz,              -87.24, dBm,
            87782942,Hz,              -90.77, dBm,
            87799608,Hz,              -90.58, dBm,
            87816274,Hz,              -93.12, dBm,
            87832940,Hz,              -94.95, dBm,
            87849606,Hz,              -89.51, dBm,
            87866272,Hz,              -90.59, dBm,
            87882938,Hz,              -88.86, dBm,
            87899604,Hz,              -95.04, dBm,
            87916270,Hz,              -93.31, dBm,
            87932936,Hz,              -93.80, dBm,
            87949602,Hz,              -94.62, dBm,
            87966268,Hz,              -93.14, dBm,
            87982934,Hz,              -95.55, dBm,
            87999600,Hz,              -91.63, dBm,
